net,train_path,recall,specificity,precision,F1,F2,ACC_overall,IoU_poly,IoU_bg,IoU_mean,Dice
train,H:\checkpoints\model_CBAMUnet_064_0.9335.pth.tar,0.9119474731696149,0.9934327989816666,0.8060906091084082,0.821515586040914,0.863716977648437,0.9897749722003937,0.7390249518677592,0.9894972691933314,0.8642611106236776,0.8215155867238839
train,H:\checkpoints\model_CBAMUnet_064_0.9335.pth.tar,0.8281084188840337,0.9843532231546217,0.7856309536229321,0.767789850928708,0.792584074349443,0.9677036106586456,0.695742515188378,0.9654583267627224,0.830600421274862,0.7677898552567293
train,H:\checkpoints\model_CBAMUnet_064_0.9335.pth.tar,0.9604602003097534,0.9904245585203171,0.9494414669275284,0.9537334650754928,0.9575087225437164,0.9887242621183395,0.9157419160008431,0.9846513259410858,0.9501966196298599,0.9537334650754928
train,H:\checkpoints\model_CBAMUnet_064_0.9335.pth.tar,0.6795668868535694,0.9937002538066161,0.7399341961537031,0.6578014909371345,0.6660363081987726,0.9583026572277672,0.5867941337851262,0.9566887405357862,0.7717414391276084,0.6578014936982455
train,H:\checkpoints\model_CBAMUnet_064_0.9335.pth.tar,0.7225704615965631,0.919219541458451,0.5708199923027218,0.547727535065294,0.5855087191684458,0.9135657740490777,0.47963733326077557,0.9117257222533226,0.6956815272569656,0.5477275365743244
